-0.0306	4.0046	-0.9989
-0.029	3.8155	-0.9992
-0.0364	1.8491	-0.9995
-0.0471	0.4332	-0.9994
0.2696	-0.0881	-0.9995
2.4535	0.0051	-0.9986
4.4047	0.0014	-0.998
6.4022	0.0032	-0.9978
8.4015	0.0021	-0.9974
10.3986	0.0039	-0.9978
12.3991	0.0083	-0.998
14.4018	0.0065	-0.9978
16.4	0.0014	-0.9979
18.3947	0.0042	-0.9981
20.394	0.0059	-0.9977
22.3968	0.0088	-0.9977
24.3952	-0.0004	-0.9979
26.3884	0.0049	-0.9973
28.3911	0.0065	-0.9979
30.3919	0.0038	-0.9981
32.3893	0.0011	-0.9978
34.3877	0.0031	-0.9978
36.3874	0.0011	-0.9979
38.386	0.0005	-0.9974
40.3862	0.0007	-0.9973
42.3852	-0.0024	-0.9975
44.3827	-0.0014	-0.9979
46.3815	0.0001	-0.9978
48.6295	-0.0168	-0.9976
50.5	-0.0168	-0.9974
50.5	4.1616	-0.998
50.5	6.1066	-0.9974
50.5	8.1067	-0.9974
50.5	10.1061	-0.9974
50.5	12.1062	-0.9982
50.5	14.1067	-0.9977
50.5	16.1067	-0.9984
50.5	18.1057	-0.9974
50.5	20.1078	-0.9981
50.5	22.1108	-0.9975
50.5	24.1088	-0.9986
50.5	26.1072	-0.9973
50.5	28.1095	-0.9976
50.5	30.1105	-0.9973
50.5	32.1104	-0.9977
50.5	34.1111	-0.9977
50.5	36.1119	-0.9975
50.5	38.1104	-0.9974
50.5	40.1118	-0.9982
50.5	42.1137	-0.9975
50.5	44.1137	-0.9976
50.5	46.1121	-0.9974
50.5	48.1161	-0.9984
50.5	50.1097	-0.9976
50.5	52.107	-0.9973
50.5	54.113	-0.998
50.5	56.113	-0.9974
50.5	58.1132	-0.998
50.5	60.1129	-0.9975
50.5	62.1122	-0.9975
50.5	64.1125	-0.9974
50.5	66.1113	-0.9977
50.5	68.1117	-0.9975
50.5	70.1086	-0.9985
50.5	72.1088	-0.9974
50.5	74.1106	-0.998
50.5	76.1106	-0.9973
50.5	78.1081	-0.9975
50.5	80.1061	-0.9974
50.5	82.1054	-0.9984
50.5	84.1058	-0.9978
50.5	86.1042	-0.9975
50.5	88.1051	-0.9977
50.5	90.1042	-0.9973
50.5	92.1034	-0.9988
50.5	94.104	-0.9972
50.5	96.102	-0.9976
50.5	98.1016	-0.9975
50.5	100.1013	-0.9979
50.5	102.1003	-0.9973
50.5	104.101	-0.9979
50.5	106.1003	-0.9975
50.5	108.0991	-0.9982
50.5	110.0977	-0.9975
50.5	112.0969	-0.9975
50.5	114.0963	-0.9975
50.5	116.0963	-0.9983
50.5	118.0962	-0.9975
50.5	120.0956	-0.9973
50.5	122.0955	-0.9974
50.5	124.0948	-0.9988
50.5	126.094	-0.9975
50.5	128.0925	-0.9974
50.5	130.0922	-0.998
50.5	132.0929	-0.9974
50.5	134.0953	-0.9981
50.5	136.0956	-0.9976
50.5	138.0963	-0.9976
50.5	140.0954	-0.9974
50.5	142.0934	-0.9974
50.5	144.0941	-0.9975
50.5	146.0944	-0.9981
50.5	148.0955	-0.9973
50.5	150.0969	-0.9975
50.5	152.0964	-0.9975
50.5	154.0963	-0.9984
50.5	156.0958	-0.9978
50.5	158.0947	-0.9974
50.5	160.0956	-0.9983
50.5	162.0965	-0.9972
50.5	164.0962	-0.9975
50.5	166.0953	-0.9974
50.5	168.0966	-0.9984
50.5	170.0959	-0.9974
50.5	172.0967	-0.9981
50.5	174.0981	-0.9978
50.5	176.098	-0.9977
50.5	178.0991	-0.9976
50.5	180.0985	-0.9974
50.5	182.0979	-0.9987
50.5	184.0986	-0.9973
50.5	186.0987	-0.9974
50.5	188.0981	-0.998
50.5	190.1	-0.9974
50.5	192.1002	-0.9983
50.5	194.1002	-0.9974
50.5	196.1003	-0.9972
50.5	198.1014	-0.9976
50.5	200.1018	-0.9974
50.5	202.1025	-0.998
50.5	204.1019	-0.9974
50.5	206.1031	-0.9981
50.5	208.1051	-0.9974
50.5	210.1044	-0.9981
50.5	212.1054	-0.9975
